year,area,variable,generation_TWh,share_of_production_percent,change_on_last_year_percent,change_on_last_year_TWh
2000,Austria,Fossil,16.418859,27.4322148727254,,
2000,Austria,Coal,5.72699999999999,9.56852693455122,,
2000,Austria,Hard Coal,4.435,7.40988597079355,,
2000,Austria,Lignite,1.292,2.15864096375767,,
2000,Austria,Gas,7.851,13.1172524817813,,
2000,Austria,Other fossil,2.840859,4.74643545639292,,
2000,Austria,Nuclear,0.0,0.0,,
2000,Austria,Renewables,43.433614,72.5677851272745,,
2000,Austria,Hydro,41.835352,69.8974493501713,,
2000,Austria,Wind and solar,0.069983,0.11692582861196,,
2000,Austria,Wind,0.066754,0.111530896977306,,
2000,Austria,Solar,0.003229,0.00539493163465442,,
2000,Austria,Bioenergy,1.528279,2.55340994849118,,
2000,Austria,Other renewables,0.0,0.0,,
2000,Austria,Production,59.852473,,,
2000,Austria,Net imports,-1.368,,,
2000,Austria,Demand,58.484473,,,
2000,Belgium,Fossil,33.572,40.5591195196501,,
2000,Belgium,Coal,12.916,15.6041221171154,,
2000,Belgium,Hard Coal,12.916,15.6041221171154,,
2000,Belgium,Lignite,0.0,0.0,,
2000,Belgium,Gas,15.977,19.302187911517,,
2000,Belgium,Other fossil,4.679,5.6528094910176,,
2000,Belgium,Nuclear,48.157,58.1795996278979,,
2000,Belgium,Renewables,1.04399999999999,1.26128085245188,,
2000,Belgium,Hydro,0.459999999999999,0.555736774068838,,
2000,Belgium,Wind and solar,0.016,0.0193299747502204,,
2000,Belgium,Wind,0.016,0.0193299747502204,,
2000,Belgium,Solar,0.0,0.0,,
2000,Belgium,Bioenergy,0.568,0.686214103632827,,
2000,Belgium,Other renewables,0.0,0.0,,
2000,Belgium,Production,82.773,,,
2000,Belgium,Net imports,4.326,,,
2000,Belgium,Demand,87.099,,,
2000,Bulgaria,Fossil,19.7949999999999,48.7513545463501,,
2000,Bulgaria,Coal,16.941,41.7224903950349,,
2000,Bulgaria,Hard Coal,2.972,7.31947591370308,,
2000,Bulgaria,Lignite,13.969,34.4030144813318,,
2000,Bulgaria,Gas,1.912,4.70889567530292,,
2000,Bulgaria,Other fossil,0.942,2.31996847601221,,
2000,Bulgaria,Nuclear,18.178,44.768988277017,,
2000,Bulgaria,Renewables,2.631,6.47965717663284,,
2000,Bulgaria,Hydro,2.631,6.47965717663284,,
2000,Bulgaria,Wind and solar,0.0,0.0,,
2000,Bulgaria,Wind,0.0,0.0,,
2000,Bulgaria,Solar,0.0,0.0,,
2000,Bulgaria,Bioenergy,0.0,0.0,,
2000,Bulgaria,Other renewables,0.0,0.0,,
2000,Bulgaria,Production,40.604,,,
2000,Bulgaria,Net imports,-4.61999999999999,,,
2000,Bulgaria,Demand,35.984,,,
2000,Croatia,Fossil,4.809,42.6977066297312,,
2000,Croatia,Coal,1.551,13.7708760621154,,
2000,Croatia,Hard Coal,1.546,13.7264825222633,,
2000,Croatia,Lignite,0.005,0.0443935398520807,,
2000,Croatia,Gas,1.571,13.9484502215237,,
2000,Croatia,Other fossil,1.687,14.978380346092,,
2000,Croatia,Nuclear,0.0,0.0,,
2000,Croatia,Renewables,6.4539,57.3022933702687,,
2000,Croatia,Hydro,6.4529,57.2934146622983,,
2000,Croatia,Wind and solar,0.0,0.0,,
2000,Croatia,Wind,0.0,0.0,,
2000,Croatia,Solar,0.0,0.0,,
2000,Croatia,Bioenergy,0.001,0.00887870797041614,,
2000,Croatia,Other renewables,0.0,0.0,,
2000,Croatia,Production,11.2629,,,
2000,Croatia,Net imports,3.421,,,
2000,Croatia,Demand,14.6839,,,
2000,Cyprus,Fossil,3.37,100.0,,
2000,Cyprus,Coal,0.0,0.0,,
2000,Cyprus,Hard Coal,0.0,0.0,,
2000,Cyprus,Lignite,0.0,0.0,,
2000,Cyprus,Gas,0.0,0.0,,
2000,Cyprus,Other fossil,3.37,100.0,,
2000,Cyprus,Nuclear,0.0,0.0,,
2000,Cyprus,Renewables,0.0,0.0,,
2000,Cyprus,Hydro,0.0,0.0,,
2000,Cyprus,Wind and solar,0.0,0.0,,
2000,Cyprus,Wind,0.0,0.0,,
2000,Cyprus,Solar,0.0,0.0,,
2000,Cyprus,Bioenergy,0.0,0.0,,
2000,Cyprus,Other renewables,0.0,0.0,,
2000,Cyprus,Production,3.37,,,
2000,Cyprus,Net imports,0.0,,,
2000,Cyprus,Demand,3.37,,,
2000,Czech Republic,Fossil,57.036193,78.2283049611988,,
2000,Czech Republic,Coal,52.752,72.3522964324277,,
2000,Czech Republic,Hard Coal,5.515,7.56412865530859,,
2000,Czech Republic,Lignite,47.237,64.7881677771191,,
2000,Czech Republic,Gas,1.691,2.31930037282444,,
2000,Czech Republic,Other fossil,2.593193,3.55670815594663,,
2000,Czech Republic,Nuclear,13.59,18.6394394244141,,
2000,Czech Republic,Renewables,2.283725,3.13225561438705,,
2000,Czech Republic,Hydro,1.758,2.41119459220897,,
2000,Czech Republic,Wind and solar,0.000935,0.00128240440484379,,
2000,Czech Republic,Wind,0.000885,0.0012138266291837,,
2000,Czech Republic,Solar,5e-05,6.8577775660096e-05,,
2000,Czech Republic,Bioenergy,0.52479,0.719778617773236,,
2000,Czech Republic,Other renewables,0.0,0.0,,
2000,Czech Republic,Production,72.909918,,,
2000,Czech Republic,Net imports,-10.017,,,
2000,Czech Republic,Demand,62.892918,,,
2000,Denmark,Fossil,30.4419999999999,84.5282390181596,,
2000,Denmark,Coal,16.673,46.2958849336369,,
2000,Denmark,Hard Coal,16.673,46.2958849336369,,
2000,Denmark,Lignite,0.0,0.0,,
2000,Denmark,Gas,8.774,24.3627478202921,,
2000,Denmark,Other fossil,4.995,13.8696062642305,,
2000,Denmark,Nuclear,0.0,0.0,,
2000,Denmark,Renewables,5.572,15.4717609818403,,
2000,Denmark,Hydro,0.03,0.0833009385239073,,
2000,Denmark,Wind and solar,4.242,11.7787527072805,,
2000,Denmark,Wind,4.241,11.7759760093297,,
2000,Denmark,Solar,0.001,0.00277669795079691,,
2000,Denmark,Bioenergy,1.3,3.60970733603598,,
2000,Denmark,Other renewables,0.0,0.0,,
2000,Denmark,Production,36.0139999999999,,,
2000,Denmark,Net imports,0.665,,,
2000,Denmark,Demand,36.6789999999999,,,
2000,Estonia,Fossil,8.495,99.7856282853199,,
2000,Estonia,Coal,0.0,0.0,,
2000,Estonia,Hard Coal,0.0,0.0,,
2000,Estonia,Lignite,0.0,0.0,,
2000,Estonia,Gas,0.596,7.00085161366105,,
2000,Estonia,Other fossil,7.899,92.7847766716589,,
2000,Estonia,Nuclear,0.0,0.0,,
2000,Estonia,Renewables,0.01825,0.214371714680057,,
2000,Estonia,Hydro,0.005,0.0587319766246733,,
2000,Estonia,Wind and solar,0.0,0.0,,
2000,Estonia,Wind,0.0,0.0,,
2000,Estonia,Solar,0.0,0.0,,
2000,Estonia,Bioenergy,0.01325,0.155639738055384,,
2000,Estonia,Other renewables,0.0,0.0,,
2000,Estonia,Production,8.51325,,,
2000,Estonia,Net imports,-0.928999999999999,,,
2000,Estonia,Demand,7.58425,,,
2000,EU-27,Fossil,1358.350375,51.6636829013753,,
2000,EU-27,Coal,795.053,30.2391539309489,,
2000,EU-27,Hard Coal,455.272,17.3158771659888,,
2000,EU-27,Lignite,339.781,12.92327676496,,
2000,EU-27,Gas,328.208561,12.4831290461569,,
2000,EU-27,Other fossil,235.088813999999,8.94139992426947,,
2000,EU-27,Nuclear,859.924,32.7064663675469,,
2000,EU-27,Renewables,410.942705,15.6298507310777,,
2000,EU-27,Hydro,354.934401,13.4996232794897,,
2000,EU-27,Wind and solar,21.5172089999999,0.818388453493539,,
2000,EU-27,Wind,21.423989,0.814842911335415,,
2000,EU-27,Solar,0.09322,0.00354554215812412,,
2000,EU-27,Bioenergy,29.198788,1.1105506738911,,
2000,EU-27,Other renewables,5.292307,0.20128832420334,,
2000,EU-27,Production,2629.21708,,,
2000,EU-27,Net imports,8.89052399999998,,,
2000,EU-27,Demand,2638.107604,,,
2000,EU27+1,Fossil,1637.69237499999,54.5244604253983,,
2000,EU27+1,Coal,915.002999999999,30.4636240750774,,
2000,EU27+1,Hard Coal,575.222,19.1511358626301,,
2000,EU27+1,Lignite,339.781,11.3124882124472,,
2000,EU27+1,Gas,476.285561,15.8571985913613,,
2000,EU27+1,Other fossil,246.403813999999,8.2036377589596,,
2000,EU27+1,Nuclear,944.987,31.4618954515288,,
2000,EU27+1,Renewables,420.912705,14.0136441230728,,
2000,EU27+1,Hydro,360.020401,11.9863280835392,,
2000,EU27+1,Wind and solar,22.465209,0.747944740885053,,
2000,EU27+1,Wind,22.370989,0.744807830229729,,
2000,EU27+1,Solar,0.09422,0.0031369106553244,,
2000,EU27+1,Bioenergy,33.134788,1.1031720392604,,
2000,EU27+1,Other renewables,5.292307,0.176199259388112,,
2000,EU27+1,Production,3003.59208,,,
2000,EU27+1,Net imports,23.0645239999999,,,
2000,EU27+1,Demand,3026.656604,,,
2000,Finland,Fossil,23.927302,34.2872182540685,,
2000,Finland,Coal,8.487,12.1616562252726,,
2000,Finland,Hard Coal,8.487,12.1616562252726,,
2000,Finland,Lignite,0.0,0.0,,
2000,Finland,Gas,10.131,14.5174666216846,,
2000,Finland,Other fossil,5.309302,7.60809540711119,,
2000,Finland,Nuclear,22.479,32.2118381392605,,
2000,Finland,Renewables,23.378601,33.5009436066709,,
2000,Finland,Hydro,14.66,21.0074090093669,,
2000,Finland,Wind and solar,0.079576,0.114030394224378,,
2000,Finland,Wind,0.078,0.111772026107136,,
2000,Finland,Solar,0.001576,0.00225836811724163,,
2000,Finland,Bioenergy,8.639025,12.3795042030795,,
2000,Finland,Other renewables,0.0,0.0,,
